#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,Season
267,CJ Elleby,POR,4,21.5,6.8,2.5,6,41.7,1,3.5,28.6,0.8,1,75,0.3,1.5,1.8,1.3,1,0.3,2.5,4.8,2021-21
267,Draymond Green,GSW,4,19.5,6.8,2.5,5.5,45.5,0.8,2,37.5,1,1.5,66.7,0.8,3.5,4.3,3.8,1.3,0.8,2.5,10.8,2021-21
267,Elfrid Payton,PHX,4,17.8,6.8,3,5.5,54.5,0.3,0.5,50,0.5,0.5,100,0.5,2.5,3,3.8,2,0.5,1.3,12.3,2021-21
267,Immanuel Quickley,NYK,4,18.8,6.8,2.5,7.5,33.3,1,3.5,28.6,0.8,0.8,100,0.5,2.5,3,4,0,0.3,1,8,2021-21
267,KJ Martin,HOU,4,13.8,6.8,3,5.5,54.5,0.3,0.8,33.3,0.5,2.3,22.2,2.3,2,4.3,1.5,1,0.3,0.8,8.8,2021-21
272,Tristan Thompson,CHI,3,16,6.7,2.7,7,38.1,0,0,0,1.3,2.3,57.1,2.7,4.7,7.3,0.3,1,0.7,0.3,10.3,2021-21
273,Drew Eubanks,POR,5,17.4,6.6,2.2,4,55,0.2,0.6,33.3,2,2.6,76.9,2.4,4.6,7,3,0.4,0.6,1.4,13.8,2021-21
274,Aaron Wiggins,OKC,4,17,6.5,2.3,5.3,42.9,1.8,3.3,53.8,0.3,0.5,50,0.5,0.8,1.3,0.8,1.5,0.8,0.5,7,2021-21
274,E'Twaun Moore,ORL,4,15.5,6.5,2.5,5.5,45.5,1,2,50,0.5,0.5,100,1,1.8,2.8,1,0.5,0,1,6.8,2021-21
274,Gary Harris,ORL,4,19,6.5,3,7,42.9,0.5,2.5,20,0,0,0,0,1.3,1.3,1.3,0.5,0.8,0.3,6,2021-21
274,Herbert Jones,NOP,4,20,6.5,2.8,5.5,50,0.3,0.3,100,0.8,1.3,60,1.5,1.5,3,1.8,1.3,0.8,0.3,9.8,2021-21
274,Kelan Martin,BOS,2,12,6.5,2.5,5,50,1,2.5,40,0.5,1,50,0.5,2,2.5,1,0,0,0.5,6.5,2021-21
