#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
429,Miye Oni,MEM,4,11.5,3.8,1.3,3.0,41.7,1.0,2.3,44.4,0.3,0.5,50.0,0.5,1.5,2.0,0.8,0.3,0.3,2.0, 3.0
429,Mouhamed Gueye,ATL,4,16.3,3.8,1.3,4.0,31.3,0.3,1.3,20.0,1.0,2.0,50.0,1.5,2.3,3.8,1.3,0.8,0.3,0.8, 5.3
429,Nate Williams,HOU,4,8.8,3.8,1.8,4.0,43.8,0.3,1.5,16.7,0.0,0.5,0.0,0.3,0.3,0.5,0.5,0.5,0.0,0.5, 2.0
429,Taurean Prince,MIL,4,19.0,3.8,1.5,4.0,37.5,0.8,2.8,27.3,0.0,0.0,0.0,0.3,3.0,3.3,1.3,1.3,1.0,0.3, 7.8
437,Delon Wright,MIL,3,11.7,3.7,1.0,2.7,37.5,1.0,2.3,42.9,0.7,0.7,100,0.3,0.3,0.7,1.7,0.0,0.3,0.7, 4.0
437,Gary Payton II,GSW,6,13.2,3.7,1.5,2.3,64.3,0.5,1.0,50.0,0.2,0.5,33.3,0.8,1.5,2.3,1.8,0.5,0.3,1.0, 6.5
437,Javante McCoy,DET,3,10.3,3.7,1.3,3.7,36.4,0.7,1.3,50.0,0.3,0.7,50.0,0.3,0.7,1.0,1.3,0.7,0.0,0.7, 3.3
437,Keaton Wallace,ATL,3,12.0,3.7,1.3,3.3,40.0,0.7,2.3,28.6,0.3,0.3,100,0.3,1.3,1.7,2.3,1.7,0.0,1.7, 5.7
437,Kendall Brown,IND,3,7.7,3.7,1.7,1.7,100,0.0,0.0,0.0,0.3,0.7,50.0,0.0,0.7,0.7,0.3,1.0,0.0,1.0, 4.3
437,Stanley Umude,MIL,3,9.0,3.7,1.0,3.7,27.3,1.0,2.7,37.5,0.7,0.7,100,0.3,1.0,1.3,0.3,0.0,0.3,0.0, 3.0
443,Adama Sanogo,CHI,5,9.6,3.6,1.4,2.6,53.8,0.2,0.4,50.0,0.6,0.8,75.0,1.6,2.6,4.2,0.6,1.2,0.6,0.4, 8.4
443,Mason Jones,SAC,5,12.8,3.6,1.2,4.2,28.6,0.6,3.0,20.0,0.6,1.4,42.9,0.4,2.4,2.8,1.0,0.2,0.2,0.6, 3.4
445,Dereon Seabron,DET,2,7.0,3.5,1.5,1.5,100,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5, 3.0
445,Kris Dunn,LAC,4,18.0,3.5,1.3,3.0,41.7,0.5,1.8,28.6,0.5,0.5,100,0.3,2.0,2.3,0.8,1.0,0.8,1.3, 5.3
445,Onuralp Bitim,CHI,2,18.0,3.5,1.5,6.0,25.0,0.5,3.5,14.3,0.0,0.5,0.0,0.5,2.5,3.0,0.5,1.0,0.0,1.0, 2.0
